T2M,RH2M,WS2M,fecha,municipio_norm,uf
26.42,86.62,0.07,2022-12-16,ABAETETUBA,PA
26.49,85.94,0.07,2022-12-17,ABAETETUBA,PA
26.56,87.76,0.06,2022-12-18,ABAETETUBA,PA
25.75,93.27,0.06,2022-12-19,ABAETETUBA,PA
26.43,89.79,0.05,2022-12-20,ABAETETUBA,PA
25.3,93.6,0.06,2022-12-21,ABAETETUBA,PA
25.63,92.74,0.09,2022-12-22,ABAETETUBA,PA
24.45,93.88,0.17,2022-12-23,ABAETETUBA,PA
25.85,86.6,0.1,2022-12-24,ABAETETUBA,PA
26.16,87.85,0.07,2022-12-25,ABAETETUBA,PA
26.31,89.88,0.07,2022-12-26,ABAETETUBA,PA
25.52,94.28,0.12,2022-12-27,ABAETETUBA,PA
25.32,93.7,0.07,2022-12-28,ABAETETUBA,PA
25.53,91.07,0.13,2022-12-29,ABAETETUBA,PA
25.32,92.2,0.17,2022-12-30,ABAETETUBA,PA
26.27,89.32,0.17,2022-12-31,ABAETETUBA,PA
25.25,95.24,0.06,2023-01-01,ABAETETUBA,PA
25.84,92.58,0.06,2023-01-02,ABAETETUBA,PA
25.92,92.72,0.06,2023-01-03,ABAETETUBA,PA
26.55,89.76,0.06,2023-01-04,ABAETETUBA,PA
26.45,87.91,0.07,2023-01-05,ABAETETUBA,PA
25.9,87.79,0.13,2023-01-06,ABAETETUBA,PA
25.59,91.43,0.06,2023-01-07,ABAETETUBA,PA
26.33,87.32,0.06,2023-01-08,ABAETETUBA,PA
25.43,92.68,0.12,2023-01-09,ABAETETUBA,PA
25.89,89.85,0.11,2023-01-10,ABAETETUBA,PA
26.22,90.03,0.07,2023-01-11,ABAETETUBA,PA
26.26,90.39,0.06,2023-01-12,ABAETETUBA,PA
26.35,90.79,0.06,2023-01-13,ABAETETUBA,PA
25.78,92.69,0.06,2023-01-14,ABAETETUBA,PA
24.28,94.62,0.06,2023-01-15,ABAETETUBA,PA
25.03,91.18,0.1,2023-01-16,ABAETETUBA,PA
25.43,89.96,0.09,2023-01-17,ABAETETUBA,PA
24.11,96.27,0.07,2023-01-18,ABAETETUBA,PA
24.27,93.28,0.16,2023-01-19,ABAETETUBA,PA
25.28,89.3,0.09,2023-01-20,ABAETETUBA,PA
25.06,94.1,0.08,2023-01-21,ABAETETUBA,PA
26.01,90.92,0.07,2023-01-22,ABAETETUBA,PA
25.37,95.96,0.08,2023-01-23,ABAETETUBA,PA
24.89,96.01,0.09,2023-01-24,ABAETETUBA,PA
24.37,96.51,0.06,2023-01-25,ABAETETUBA,PA
24.3,97.44,0.05,2023-01-26,ABAETETUBA,PA
24.88,93.27,0.06,2023-01-27,ABAETETUBA,PA
24.04,95.97,0.08,2023-01-28,ABAETETUBA,PA
25.22,90.97,0.06,2023-01-29,ABAETETUBA,PA
24.61,93.79,0.15,2023-01-30,ABAETETUBA,PA
25.04,91.82,0.23,2023-01-31,ABAETETUBA,PA
24.59,96.52,0.06,2023-02-01,ABAETETUBA,PA
25.14,90.56,0.06,2023-02-02,ABAETETUBA,PA
25.43,90.81,0.11,2023-02-03,ABAETETUBA,PA
25.48,93.54,0.06,2023-02-04,ABAETETUBA,PA
25.4,92.71,0.08,2023-02-05,ABAETETUBA,PA
25.54,93.31,0.06,2023-02-06,ABAETETUBA,PA
25.2,94.88,0.1,2023-02-07,ABAETETUBA,PA
25.62,91.54,0.22,2023-02-08,ABAETETUBA,PA
25.69,92.08,0.08,2023-02-09,ABAETETUBA,PA
26.34,91.49,0.06,2023-02-10,ABAETETUBA,PA
25.81,94.25,0.06,2023-02-11,ABAETETUBA,PA
25.9,94.34,0.07,2023-02-12,ABAETETUBA,PA
26.44,92.32,0.07,2023-02-13,ABAETETUBA,PA
25.57,94.17,0.06,2023-02-14,ABAETETUBA,PA
25.7,94.01,0.07,2023-02-15,ABAETETUBA,PA
24.82,97.57,0.1,2023-02-16,ABAETETUBA,PA
25.12,93.02,0.06,2023-02-17,ABAETETUBA,PA
25.04,94.35,0.06,2023-02-18,ABAETETUBA,PA
24.62,94.79,0.07,2023-02-19,ABAETETUBA,PA
25.4,90.39,0.06,2023-02-20,ABAETETUBA,PA
24.38,97.26,0.05,2023-02-21,ABAETETUBA,PA
24.34,97.82,0.05,2023-02-22,ABAETETUBA,PA
25.0,92.59,0.11,2023-02-23,ABAETETUBA,PA
25.76,92.54,0.12,2023-02-24,ABAETETUBA,PA
25.38,91.67,0.1,2023-02-25,ABAETETUBA,PA
26.06,89.9,0.06,2023-02-26,ABAETETUBA,PA
25.69,93.31,0.1,2023-02-27,ABAETETUBA,PA
25.89,93.63,0.06,2023-02-28,ABAETETUBA,PA
26.35,91.69,0.06,2023-03-01,ABAETETUBA,PA
25.43,94.16,0.06,2023-03-02,ABAETETUBA,PA
25.82,94.98,0.07,2023-03-03,ABAETETUBA,PA
25.47,92.57,0.12,2023-03-04,ABAETETUBA,PA
26.25,90.91,0.13,2023-03-05,ABAETETUBA,PA
26.04,93.21,0.08,2023-03-06,ABAETETUBA,PA
26.45,92.06,0.06,2023-03-07,ABAETETUBA,PA
26.15,93.6,0.08,2023-03-08,ABAETETUBA,PA
25.43,94.43,0.06,2023-03-09,ABAETETUBA,PA
25.72,92.88,0.11,2023-03-10,ABAETETUBA,PA
26.12,91.17,0.06,2023-03-11,ABAETETUBA,PA
26.16,90.63,0.06,2023-03-12,ABAETETUBA,PA
26.24,92.39,0.06,2023-03-13,ABAETETUBA,PA
24.68,97.63,0.05,2023-03-14,ABAETETUBA,PA
24.72,95.72,0.15,2023-03-15,ABAETETUBA,PA
25.21,92.87,0.1,2023-03-16,ABAETETUBA,PA
24.2,96.69,0.06,2023-03-17,ABAETETUBA,PA
23.54,93.08,0.12,2023-03-18,ABAETETUBA,PA
25.37,91.18,0.17,2023-03-19,ABAETETUBA,PA
24.9,97.72,0.11,2023-03-20,ABAETETUBA,PA
24.9,92.24,0.06,2023-03-21,ABAETETUBA,PA
24.72,93.63,0.1,2023-03-22,ABAETETUBA,PA
25.46,92.01,0.05,2023-03-23,ABAETETUBA,PA
